fips,tot_po_yr,tot_po8,n_years_available,avg_customers_out,avg_customer_time_std
01001,126,3,3,308450,10
01003,78,2,2,190834,2
01005,104,3,1,147682,12
01007,175,10,3,171696,17
01009,159,12,3,306912,11
01011,123,5,3,49590,10
01013,163,6,3,165317,18
01015,130,7,3,943778,15
01017,100,3,3,75074,4
01021,143,6,3,684723,29
01025,84,3,3,240847,18
01027,125,6,3,154666,22
01029,176,15,3,279425,35
01031,75,3,3,72139,3
01037,186,10,3,285590,52
01039,66,4,1,185029,9
01041,97,5,3,40704,6
01045,68,2,3,120734,5
01047,183,3,3,744227,34
01051,147,5,3,567788,14
01053,96,2,3,212197,12
01055,120,6,2,255654,5
01057,183,8,3,105270,11
01059,47,0,1,22787,1
01061,112,3,3,162422,11
01063,52,2,3,17652,4
01065,106,5,3,48938,6
01067,99,4,3,122325,13
01069,70,3,3,524748,9
01073,125,10,3,1978137,5
01075,96,3,2,72638,9
01077,84,8,2,212238,4
01081,87,3,1,277876,3
01085,169,4,3,107874,19
01089,85,2,2,515794,2
01091,106,3,3,82873,8
01093,123,5,3,61558,4
01097,146,4,3,4537082,20
01099,106,4,3,175843,16
01101,124,3,3,666797,5
01105,134,8,3,148760,34
01107,151,5,3,118642,11
01111,150,8,3,266625,22
01113,81,3,3,100258,3
01117,122,6,3,1135231,10
01115,153,11,3,419556,9
01119,104,3,3,34346,5
01121,139,6,3,603687,14
01123,166,7,3,368384,16
01125,136,8,3,517791,5
01127,218,10,3,323605,9
01131,168,6,3,222103,41
01133,178,5,3,96070,7
02068,2,0,3,116,0
02240,27,1,3,16579,5
04001,42,1,3,51255,2
04012,1,0,3,1629,0
04015,24,1,3,72922,1
04017,73,1,3,119651,3
04025,112,3,2,410770,3
05001,192,14,3,351365,33
05003,99,8,3,210193,19
05005,118,3,3,93532,4
05007,75,1,3,531197,4
05009,72,4,3,77043,4
05011,102,6,3,81049,13
05013,149,6,3,60540,24
05015,66,1,3,31318,2
05017,128,7,3,121506,21
05019,109,7,3,244636,21
05023,38,1,3,20723,1
05029,49,3,3,51588,4
05033,84,6,3,143401,4
05035,50,4,3,92203,3
05037,123,6,1,90797,10
05039,124,12,2,184934,44
05041,100,6,3,102004,14
05043,92,8,3,228511,23
05045,63,1,1,104664,2
